rank,title,domestic_gross,boxoffice_open,boxoffice_close,distributor,estimated,budget,wikipedia_title,wikidata_id,wikidata_title,wikidata_release_date,wikidata_box_office,wikidata_letterboxd_slug,letterboxd_avg,letterboxd_ratings,letterboxd_slug
169,"Sorry, Baby",2418280.0,Jun 27,-,A24,False,,,Q131450483,"Sorry, Baby",2025-09-25T00:00:00Z,,sorry-baby-2025,4.06,356899.0,film/sorry-baby-2025
170,Spider-Man/Spider-Man 2/Spider-Man 3Fathom 2025,2250977.0,Sep 26,-,-,True,,,,,,,,,,
171,Detective Chinatown 1900,2229946.0,Jan 29,-,CMC Pictures,False,,,Q131522509,Detective Chinatown 1900,2025-02-19T00:00:00Z,,detective-chinatown-1900,2.75,3030.0,film/detective-chinatown-1900
172,DogmaDogma: Resurrected! A 25th Anniversary Celebration,2193805.0,Jun 5,-,Iconic Events Releasing,False,,,,,,,,,,
173,Blue Moon,2170688.0,Oct 17,-,Sony Pictures Classics,False,,,Q127118129,Blue Moon,2025-11-06T00:00:00Z,,blue-moon-2025,3.58,179256.0,film/blue-moon-2025
174,Night of the Zoopocalypse,2108907.0,Mar 7,-,Viva Pictures,False,,,Q130477367,Night of the Zoopocalypse,2025-10-23T00:00:00Z,5200000.0,night-of-the-zoopocalypse,2.88,6511.0,film/night-of-the-zoopocalypse
175,Game Changer,2100000.0,Jan 10,-,Shloka Entertainments,True,,,Q110917109,Game Changer,2025-01-10T00:00:00Z,,game-changer-3,2.01,15978.0,film/game-changer-3
176,The Wedding Banquet,2090228.0,Apr 18,-,Bleecker Street Media,False,,,Q125660863,The Wedding Banquet,2025-04-18T00:00:00Z,,the-wedding-banquet-2025,3.25,43855.0,film/the-wedding-banquet-2025
177,"Oh, Hi!",2082113.0,Jul 25,-,Sony Pictures Classics,False,,,Q131429514,"Oh, Hi!",2025-11-27T00:00:00Z,,oh-hi,3.13,177254.0,film/oh-hi
178,Sight & Sound Presents: NOAH Live,2059719.0,Sep 18,-,-,False,,,,,,,,,,film/sight-sound-presents-noah-live
179,Opus,1993397.0,Mar 14,-,A24,False,10000000.0,,Q123754013,Opus,2025-03-14T00:00:00Z,2200000.0,opus-2025,2.71,190795.0,film/opus-2025
180,Christy,1952677.0,Nov 7,Nov 20,Black Bear,False,,,Q130403642,Christy,2025-11-27T00:00:00Z,,christy-1,3.21,40675.0,film/christy-1
181,Pets on a Train,1902241.0,Oct 17,-,Viva Pictures,False,12500000.0,,Q134593912,Pets on a Train,2025-06-12T00:00:00Z,13020498.0,,2.74,3542.0,film/pets-on-a-train
182,Jane Austen Wrecked My Life,1900978.0,May 23,-,Sony Pictures Classics,False,,,Q130240842,Jane Austen Wrecked My Life,2025-10-16T00:00:00Z,,jane-austen-wrecked-my-life,3.2,29444.0,film/jane-austen-wrecked-my-life
183,Splitsville,1900750.0,Aug 22,-,Neon,False,,,Q131004938,Splitsville,2025-09-04T00:00:00Z,,splitsville,3.37,120806.0,film/splitsville
184,In the Lost Lands,1870305.0,Mar 7,-,Vertical Entertainment,False,,,Q113524284,In the Lost Lands,2025-05-09T00:00:00Z,,in-the-lost-lands,1.97,28825.0,film/in-the-lost-lands
185,Riff Raff,1862519.0,Feb 27,-,Roadside Attractions,False,,,Q120279954,The Rats: A Witcher Tale,2025-01-01T00:00:00Z,,the-rats-a-witcher-tale,2.72,27508.0,film/riff-raff-2024
186,Creation of the Gods II: Demon Force,1853487.0,Jan 31,-,Well Go USA Entertainment,False,,,Q131802561,Creation of the Gods II: Demon Force,2025-03-05T00:00:00Z,,creation-of-the-gods-ii-demon-force,3.21,3668.0,film/creation-of-the-gods-ii-demon-force
187,Casper2025 Re-release,1840230.0,Oct 3,-,Universal Pictures,False,,,,,,,,,,
188,It Was Just an Accident,1773664.0,Oct 15,-,Neon,False,,,Q133866932,It Was Just an Accident,2025-10-01T00:00:00Z,9710654.0,it-was-just-an-accident,3.97,324886.0,film/it-was-just-an-accident
189,Kuberaa,1750000.0,Jun 20,-,Prathyangira Cinemas,True,,,,,,,,2.97,22533.0,film/kuberaa
190,Seven2025 Re-release,1745531.0,Jan 3,-,Warner Bros.,True,,,,,,,,,,
191,Perfect Blue2025 Re-release,1733525.0,Oct 3,-,GKIDS,False,,,,,,,,,,
192,Green and Gold,1719105.0,Jan 31,-,Fathom Events,False,,,Q132125859,Green and Gold,2025-01-31T00:00:00Z,,green-and-gold-2024,3.16,1081.0,film/green-and-gold-2024
193,Elf2025 Re-release,1704041.0,Oct 31,-,Warner Bros.,False,,,,,,,,,,
194,Dead of Winter,1674777.0,Sep 26,-,Vertical Entertainment,False,,,Q124947655,Dead of Winter,2025-11-28T00:00:00Z,,dead-of-winter-2025,2.88,48421.0,film/dead-of-winter-2025
195,Willy Wonka & the Chocolate Factory2025 Re-release,1669328.0,Nov 21,-,Warner Bros.,False,,,,,,,,,,
196,Locked,1632758.0,Mar 21,-,The Avenue Entertainment,False,,,Q124370375,Locked,2025-04-09T00:00:00Z,,locked-3,2.62,78806.0,film/locked-3
197,Kiss of the Spider Woman,1628029.0,Oct 10,-,Lionsgate,False,,,Q125078429,Kiss of the Spider Woman,2025-10-10T00:00:00Z,,kiss-of-the-spider-woman-2025,3.23,22334.0,film/kiss-of-the-spider-woman-2025
198,The Ballad of Wallis Island,1607835.0,Mar 28,May 9,Focus Features,False,,,Q125274110,The Ballad of Wallis Island,2025-05-30T00:00:00Z,,the-ballad-of-wallis-island,3.89,110744.0,film/the-ballad-of-wallis-island
199,The Sound of Music60th Anniversary,1601237.0,Sep 12,-,Fathom Events,False,,,,,,,,,,
200,Wake Up Dead Man,1600000.0,Nov 26,-,Netflix,True,151700000.0,,Q115931717,Wake Up Dead Man,2025-11-26T00:00:00Z,,wake-up-dead-man,3.77,2188917.0,film/wake-up-dead-man
